Id,SalePrice
1461,135000
1462,160000
1463,190000
1464,190000
1465,140000
1466,190000
1467,190000
1468,174000
1469,140000
1470,140000
1471,190000
1472,140000
1473,140000
1474,140000
1475,140000
1476,190000
1477,190000
1478,190000
1479,190000
1480,190000
1481,190000
1482,181000
1483,190000
1484,181000
1485,190000
1486,190000
1487,190000
1488,190000
1489,190000
1490,190000
1491,190000
1492,110000
1493,190000
1494,190000
1495,190000
1496,190000
1497,140000
1498,140000
1499,140000
1500,140000
1501,190000
1502,140000
1503,190000
1504,190000
1505,190000
1506,190000
1507,190000
1508,175000
1509,140000
1510,140000
1511,140000
1512,135000
1513,140000
1514,160000
1515,140000
1516,140000
1517,140000
1518,145000
1519,190000
1520,135000
1521,135000
1522,155000
1523,135000
1524,145000
1525,135000
1526,140000
1527,145000
1528,140000
1529,140000
1530,190000
1531,140000
1532,135000
1533,145000
1534,135000
1535,135000
1536,140000
1537,110000
1538,140000
1539,140000
1540,160000
1541,140000
1542,135000
1543,140000
1544,135000
1545,140000
1546,145000
1547,135000
1548,140000
1549,140000
1550,135000
1551,140000
1552,135000
1553,135000
1554,145000
1555,160000
1556,135000
1557,140000
1558,135000
1559,135000
1560,145000
1561,145000
1562,140000
1563,140000
1564,140000
1565,140000
1566,190000
1567,110000
1568,190000
1569,135000
1570,140000
1571,135000
1572,135000
1573,143000
1574,140000
1575,190000
1576,190000
1577,190000
1578,140000
1579,140000
1580,190000
1581,140000
1582,140000
1583,190000
1584,190000
1585,140000
1586,135000
1587,135000
1588,140000
1589,135000
1590,140000
1591,135000
1592,140000
1593,140000
1594,160000
1595,135000
1596,140000
1597,145000
1598,190000
1599,140000
1600,181000
1601,110000
1602,135000
1603,135000
1604,275000
1605,190000
1606,175000
1607,145000
1608,190000
1609,190000
1610,190000
1611,140000
1612,190000
1613,190000
1614,145000
1615,140000
1616,135000
1617,140000
1618,135000
1619,140000
1620,190000
1621,140000
1622,135000
1623,190000
1624,190000
1625,135000
1626,190000
1627,190000
1628,190000
1629,190000
1630,190000
1631,190000
1632,190000
1633,190000
1634,190000
1635,155000
1636,140000
1637,190000
1638,190000
1639,190000
1640,190000
1641,190000
1642,190000
1643,190000
1644,190000
1645,160000
1646,140000
1647,140000
1648,140000
1649,140000
1650,140000
1651,140000
1652,140000
1653,140000
1654,140000
1655,140000
1656,140000
1657,175000
1658,140000
1659,145000
1660,145000
1661,250000
1662,250000
1663,190000
1664,190000
1665,190000
1666,190000
1667,190000
1668,190000
1669,190000
1670,190000
1671,190000
1672,190000
1673,250000
1674,190000
1675,190000
1676,140000
1677,190000
1678,190000
1679,190000
1680,190000
1681,190000
1682,190000
1683,181000
1684,190000
1685,178000
1686,181000
1687,190000
1688,190000
1689,178000
1690,190000
1691,190000
1692,190000
1693,155000
1694,155000
1695,190000
1696,190000
1697,190000
1698,250000
1699,190000
1700,190000
1701,190000
1702,190000
1703,190000
1704,190000
1705,190000
1706,190000
1707,190000
1708,190000
1709,190000
1710,190000
1711,190000
1712,190000
1713,190000
1714,190000
1715,190000
1716,190000
1717,190000
1718,135000
1719,190000
1720,190000
1721,190000
1722,135000
1723,140000
1724,190000
1725,190000
1726,190000
1727,181000
1728,190000
1729,140000
1730,140000
1731,147000
1732,140000
1733,135000
1734,135000
1735,135000
1736,145000
1737,160000
1738,175000
1739,190000
1740,190000
1741,140000
1742,140000
1743,140000
1744,145000
1745,190000
1746,190000
1747,190000
1748,190000
1749,175000
1750,140000
1751,190000
1752,145000
1753,140000
1754,190000
1755,145000
1756,145000
1757,135000
1758,140000
1759,140000
1760,155000
1761,160000
1762,140000
1763,140000
1764,140000
1765,140000
1766,160000
1767,190000
1768,135000
1769,140000
1770,135000
1771,135000
1772,145000
1773,160000
1774,145000
1775,135000
1776,135000
1777,135000
1778,135000
1779,140000
1780,140000
1781,135000
1782,110000
1783,145000
1784,135000
1785,135000
1786,160000
1787,140000
1788,135000
1789,110000
1790,135000
1791,200000
1792,135000
1793,140000
1794,140000
1795,135000
1796,140000
1797,140000
1798,135000
1799,135000
1800,140000
1801,135000
1802,160000
1803,140000
1804,140000
1805,135000
1806,135000
1807,145000
1808,140000
1809,135000
1810,135000
1811,160000
1812,135000
1813,135000
1814,135000
1815,110000
1816,135000
1817,140000
1818,140000
1819,140000
1820,110000
1821,115000
1822,140000
1823,135000
1824,135000
1825,140000
1826,135000
1827,135000
1828,135000
1829,140000
1830,140000
1831,140000
1832,160000
1833,140000
1834,135000
1835,160000
1836,140000
1837,135000
1838,140000
1839,145000
1840,160000
1841,140000
1842,135000
1843,140000
1844,145000
1845,135000
1846,145000
1847,135000
1848,135000
1849,140000
1850,140000
1851,140000
1852,140000
1853,140000
1854,140000
1855,140000
1856,190000
1857,140000
1858,145000
1859,112000
1860,160000
1861,112000
1862,190000
1863,190000
1864,190000
1865,190000
1866,190000
1867,190000
1868,190000
1869,190000
1870,190000
1871,190000
1872,178000
1873,190000
1874,140000
1875,190000
1876,190000
1877,190000
1878,190000
1879,135000
1880,140000
1881,190000
1882,190000
1883,190000
1884,190000
1885,190000
1886,190000
1887,190000
1888,190000
1889,190000
1890,135000
1891,140000
1892,135000
1893,140000
1894,145000
1895,135000
1896,135000
1897,135000
1898,140000
1899,135000
1900,135000
1901,140000
1902,135000
1903,160000
1904,140000
1905,190000
1906,140000
1907,160000
1908,140000
1909,140000
1910,140000
1911,190000
1912,190000
1913,160000
1914,110000
1915,145000
1916,110000
1917,190000
1918,140000
1919,140000
1920,190000
1921,190000
1922,190000
1923,160000
1924,190000
1925,190000
1926,190000
1927,135000
1928,135000
1929,145000
1930,145000
1931,140000
1932,140000
1933,140000
1934,190000
1935,190000
1936,190000
1937,190000
1938,190000
1939,190000
1940,140000
1941,174000
1942,190000
1943,140000
1944,250000
1945,190000
1946,160000
1947,190000
1948,160000
1949,190000
1950,140000
1951,190000
1952,190000
1953,145000
1954,190000
1955,140000
1956,190000
1957,140000
1958,200000
1959,145000
1960,135000
1961,140000
1962,145000
1963,140000
1964,140000
1965,140000
1966,140000
1967,190000
1968,190000
1969,190000
1970,250000
1971,250000
1972,250000
1973,190000
1974,250000
1975,190000
1976,190000
1977,190000
1978,250000
1979,190000
1980,190000
1981,190000
1982,190000
1983,181000
1984,140000
1985,190000
1986,190000
1987,190000
1988,181000
1989,190000
1990,190000
1991,190000
1992,190000
1993,190000
1994,190000
1995,190000
1996,190000
1997,250000
1998,190000
1999,190000
2000,250000
2001,190000
2002,190000
2003,190000
2004,190000
2005,190000
2006,190000
2007,190000
2008,190000
2009,190000
2010,190000
2011,135000
2012,190000
2013,190000
2014,175000
2015,190000
2016,190000
2017,175000
2018,140000
2019,135000
2020,140000
2021,135000
2022,175000
2023,155000
2024,190000
2025,190000
2026,181000
2027,140000
2028,140000
2029,140000
2030,190000
2031,190000
2032,190000
2033,190000
2034,140000
2035,190000
2036,190000
2037,190000
2038,190000
2039,190000
2040,190000
2041,190000
2042,190000
2043,145000
2044,190000
2045,140000
2046,145000
2047,140000
2048,140000
2049,145000
2050,140000
2051,135000
2052,135000
2053,140000
2054,135000
2055,135000
2056,140000
2057,135000
2058,190000
2059,135000
2060,135000
2061,140000
2062,135000
2063,135000
2064,140000
2065,135000
2066,160000
2067,135000
2068,145000
2069,110000
2070,135000
2071,135000
2072,145000
2073,145000
2074,160000
2075,140000
2076,140000
2077,140000
2078,145000
2079,140000
2080,140000
2081,135000
2082,145000
2083,140000
2084,145000
2085,135000
2086,140000
2087,140000
2088,135000
2089,110000
2090,135000
2091,160000
2092,140000
2093,135000
2094,145000
2095,160000
2096,135000
2097,135000
2098,140000
2099,110000
2100,135000
2101,160000
2102,140000
